Case,No,Task,CC.Ch1,GN.Ch1,NS.Ch1,BU.Ch1,FA.Ch1,LD.Ch1,BZ.Ch1,FC.Ch1,FP.Ch1,RP.Ch1,PP.Ch1,KA.Ch1,SC.Ch1,TS.Ch1,NV.Ch1,MA.Ch1,LB.Ch1,AF.Ch1,HU.Ch1,Price.Ch1,CC.Ch2,GN.Ch2,NS.Ch2,BU.Ch2,FA.Ch2,LD.Ch2,BZ.Ch2,FC.Ch2,FP.Ch2,RP.Ch2,PP.Ch2,KA.Ch2,SC.Ch2,TS.Ch2,NV.Ch2,MA.Ch2,LB.Ch2,AF.Ch2,HU.Ch2,Price.Ch2,CC.Ch3,GN.Ch3,NS.Ch3,BU.Ch3,FA.Ch3,LD.Ch3,BZ.Ch3,FC.Ch3,FP.Ch3,RP.Ch3,PP.Ch3,KA.Ch3,SC.Ch3,TS.Ch3,NV.Ch3,MA.Ch3,LB.Ch3,AF.Ch3,HU.Ch3,Price.Ch3,CC.Ch4,GN.Ch4,NS.Ch4,BU.Ch4,FA.Ch4,LD.Ch4,BZ.Ch4,FC.Ch4,FP.Ch4,RP.Ch4,PP.Ch4,KA.Ch4,SC.Ch4,TS.Ch4,NV.Ch4,MA.Ch4,LB.Ch4,AF.Ch4,HU.Ch4,Price.Ch4,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Ch1,Ch2,Ch3,Ch4,Choice
751,14261,11,0,2,2,6,0,2,1,0,1,0,0,0,0,0,1,3,3,0,0,7,0,1,4,3,0,3,2,0,3,0,0,0,0,0,1,3,3,0,0,6,0,2,2,5,0,2,2,0,4,0,0,0,0,0,1,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14262,12,0,0,4,0,1,0,3,0,0,1,3,1,0,0,0,1,0,2,2,6,0,0,5,0,1,0,2,0,0,2,1,2,0,0,0,4,0,2,2,8,0,0,4,0,1,0,1,0,0,1,2,2,0,0,0,2,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14263,13,2,0,1,0,0,0,0,2,3,2,0,0,2,3,0,0,3,0,1,11,1,0,2,0,0,0,0,1,2,1,0,0,4,2,0,0,4,0,1,10,1,0,5,0,0,0,0,2,1,1,0,0,3,3,0,0,4,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14264,14,3,2,0,0,2,0,0,2,0,0,0,1,1,0,1,4,3,0,0,5,2,2,0,0,1,0,0,2,0,0,0,1,2,0,2,1,1,0,0,4,3,2,0,0,1,0,0,1,0,0,0,1,1,0,3,3,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14265,15,1,0,0,5,0,2,2,0,2,0,3,0,0,3,0,0,2,1,0,5,2,0,0,1,0,3,2,0,2,0,2,0,0,2,0,0,3,2,0,7,1,0,0,2,0,2,2,0,2,0,3,0,0,3,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14266,16,0,2,0,6,2,0,1,2,4,1,2,0,0,3,0,0,0,0,0,8,0,2,0,2,2,0,3,1,1,1,1,0,0,3,0,0,0,0,0,5,0,1,0,6,1,0,1,2,2,2,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14267,17,0,0,4,0,0,2,0,0,0,0,0,1,3,2,2,4,0,1,1,8,0,0,4,0,0,1,0,0,0,0,0,1,3,3,2,4,0,1,1,5,0,0,3,0,0,1,0,0,0,0,0,1,2,3,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14268,18,3,2,0,4,2,3,0,0,1,1,0,1,0,0,0,0,0,0,2,5,1,1,0,4,1,1,0,0,3,1,0,1,0,0,0,0,0,0,2,3,2,1,0,6,2,3,0,0,3,1,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14269,19,0,0,2,0,0,0,2,1,0,0,3,0,1,0,2,1,3,2,0,12,0,0,1,0,0,0,3,2,0,0,1,0,4,0,3,3,4,1,0,6,0,0,5,0,0,0,3,2,0,0,2,0,3,0,2,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
752,14270,1,0,0,4,5,2,3,0,0,3,1,0,2,0,3,0,0,0,0,2,10,0,0,1,3,2,3,0,0,3,2,0,1,0,1,0,0,0,0,1,9,0,0,2,4,1,3,0,0,2,2,0,1,0,3,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14271,2,0,1,0,0,0,0,2,1,0,0,1,0,3,0,3,2,2,3,0,12,0,1,0,0,0,0,3,2,0,0,2,0,3,0,3,4,4,2,0,12,0,1,0,0,0,0,3,1,0,0,3,0,1,0,1,3,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14272,3,3,0,4,4,1,0,2,0,0,0,2,0,0,2,3,0,0,3,0,10,1,0,3,1,2,0,1,0,0,0,1,0,0,2,2,0,0,1,0,8,1,0,4,6,2,0,3,0,0,0,3,0,0,3,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14273,4,1,2,0,0,0,0,0,1,2,1,0,1,1,0,0,3,0,0,2,5,3,1,0,0,0,0,0,2,2,1,0,2,1,0,0,3,0,0,2,8,2,1,0,0,0,0,0,1,2,2,0,2,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14274,5,0,2,0,4,0,3,2,0,0,0,1,2,1,1,0,0,2,0,0,5,0,1,0,2,0,1,1,0,0,0,1,2,2,2,0,0,1,0,0,11,0,1,0,2,0,1,3,0,0,0,3,1,1,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14275,6,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,4,2,2,1,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,1,1,1,2,6,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2,3,4,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14276,7,0,0,4,3,0,0,0,2,4,1,0,0,0,2,3,3,4,0,0,4,0,0,1,1,0,0,0,1,2,1,0,0,0,2,1,1,4,0,0,6,0,0,4,4,0,0,0,2,1,1,0,0,0,3,1,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14277,8,2,2,3,0,2,1,0,0,0,1,0,0,3,0,0,0,0,3,1,9,3,2,4,0,2,2,0,0,0,2,0,0,2,0,0,0,0,1,1,4,2,2,2,0,2,3,0,0,0,1,0,0,4,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14278,9,1,0,0,0,1,0,1,2,0,0,3,1,0,2,0,0,3,0,2,5,3,0,0,0,2,0,1,1,0,0,3,2,0,1,0,0,3,0,2,2,1,0,0,0,2,0,3,1,0,0,3,2,0,1,0,0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14279,10,0,1,3,1,0,1,0,1,0,0,1,1,0,0,2,3,0,0,0,3,0,2,4,6,0,3,0,1,0,0,1,2,0,0,2,3,0,0,0,7,0,2,2,4,0,3,0,2,0,0,1,1,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14280,11,2,0,2,0,0,0,2,0,3,1,0,2,1,0,2,0,0,3,0,9,2,0,5,0,0,0,3,0,4,2,0,2,3,0,3,0,0,1,0,7,1,0,1,0,0,0,3,0,2,1,0,2,4,0,3,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14281,12,0,1,0,0,2,2,0,2,4,1,2,0,0,0,0,0,1,1,0,12,0,2,0,0,1,1,0,2,1,2,1,0,0,0,0,0,1,2,0,3,0,2,0,0,2,1,0,1,4,1,3,0,0,0,0,0,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14282,13,0,0,0,4,0,2,3,2,0,0,0,0,4,1,0,3,0,1,2,10,0,0,0,5,0,1,3,2,0,0,0,0,1,3,0,2,0,1,1,7,0,0,0,6,0,2,1,1,0,0,0,0,1,2,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14283,14,1,0,4,3,0,0,0,0,4,0,1,0,2,0,0,2,3,0,2,10,1,0,5,3,0,0,0,0,2,0,3,0,2,0,0,2,4,0,2,5,2,0,5,3,0,0,0,0,1,0,3,0,2,0,0,3,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14284,15,0,1,0,0,2,0,1,0,0,2,0,1,0,1,1,2,0,0,1,2,0,2,0,0,1,0,1,0,0,2,0,2,0,3,1,3,0,0,2,1,0,1,0,0,1,0,1,0,0,2,0,1,0,3,1,3,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14285,16,2,0,0,1,1,1,1,1,4,0,0,0,3,0,1,0,0,0,0,11,1,0,0,3,1,1,3,2,1,0,0,0,4,0,3,0,0,0,0,12,2,0,0,4,2,3,1,1,2,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14286,17,0,1,5,0,0,0,0,0,0,1,3,2,2,1,0,0,4,3,0,1,0,2,4,0,0,0,0,0,0,1,2,1,1,1,0,0,3,3,0,1,0,1,2,0,0,0,0,0,0,2,1,2,4,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14287,18,3,1,3,0,0,1,1,2,0,0,0,0,0,2,0,4,1,0,0,6,2,1,4,0,0,3,1,1,0,0,0,0,0,2,0,2,4,0,0,9,2,1,3,0,0,3,1,2,0,0,0,0,0,3,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
752,14288,19,0,0,0,4,2,0,0,0,4,1,1,1,0,0,1,0,0,2,2,1,0,0,0,3,1,0,0,0,4,2,3,2,0,0,2,0,0,1,2,10,0,0,0,5,1,0,0,0,3,1,3,1,0,0,3,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,201 To 250 Miles,21% To 30%,Male,30 To 39,High School,SE,Rural/Country,"$60,000 to $69,999",Yearly,,,,,
753,14289,1,3,0,1,0,2,1,0,0,0,2,1,0,0,0,3,2,3,0,0,3,2,0,1,0,2,3,0,0,0,1,1,0,0,0,1,1,2,0,0,12,1,0,5,0,1,2,0,0,0,2,2,0,0,0,2,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14290,2,0,2,0,6,0,0,2,1,3,0,0,1,4,0,0,0,0,2,1,12,0,2,0,4,0,0,3,2,2,0,0,1,1,0,0,0,0,1,1,12,0,1,0,4,0,0,3,1,4,0,0,1,4,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14291,3,0,0,4,0,2,0,3,1,0,0,1,1,0,2,0,0,3,1,0,3,0,0,1,0,1,0,3,2,0,0,3,2,0,3,0,0,1,1,0,11,0,0,2,0,2,0,2,2,0,0,3,2,0,1,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14292,4,2,1,0,1,0,0,0,0,1,1,0,0,0,3,1,1,0,0,1,2,2,1,0,3,0,0,0,0,3,2,0,0,0,1,1,1,0,0,2,6,3,2,0,3,0,0,0,0,1,1,0,0,0,2,2,2,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14293,5,0,0,0,4,1,3,0,1,0,1,0,0,4,0,0,1,2,2,0,5,0,0,0,4,2,2,0,1,0,2,0,0,2,0,0,4,4,1,0,6,0,0,0,5,1,3,0,2,0,1,0,0,1,0,0,4,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14294,6,1,2,0,0,0,1,0,0,0,0,2,2,3,1,3,0,0,0,1,5,3,2,0,0,0,3,0,0,0,0,3,1,3,3,1,0,0,0,1,7,3,1,0,0,0,1,0,0,0,0,3,1,2,3,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14295,7,3,0,4,0,1,0,2,0,2,2,0,2,4,0,0,2,0,0,0,8,3,0,4,0,1,0,3,0,2,1,0,2,4,0,0,4,0,0,0,1,1,0,4,0,1,0,2,0,1,2,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14296,8,0,2,5,1,0,3,2,0,3,0,2,0,0,0,2,0,0,2,0,12,0,2,5,4,0,2,1,0,3,0,3,0,0,0,3,0,0,2,0,6,0,1,4,1,0,2,1,0,4,0,3,0,0,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14297,9,1,0,0,0,0,0,0,2,4,1,1,0,0,3,0,0,3,1,2,12,3,0,0,0,0,0,0,2,4,1,1,0,0,3,0,0,3,2,1,2,2,0,0,0,0,0,0,1,1,2,3,0,0,3,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14298,10,0,0,2,6,0,0,0,2,0,0,0,2,4,0,3,1,1,0,2,2,0,0,4,6,0,0,0,1,0,0,0,2,1,0,2,2,4,0,2,11,0,0,5,5,0,0,0,1,0,0,0,1,3,0,1,4,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14299,11,0,2,5,0,2,3,3,0,0,0,0,0,0,1,0,2,0,2,2,12,0,2,3,0,2,3,3,0,0,0,0,0,0,2,0,4,0,2,1,9,0,2,1,0,1,1,1,0,0,0,0,0,0,3,0,4,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14300,12,0,1,0,3,1,0,0,0,0,2,3,2,2,3,0,0,3,0,0,3,0,1,0,5,2,0,0,0,0,2,1,1,1,1,0,0,1,0,0,10,0,1,0,3,1,0,0,0,0,1,1,1,1,2,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
753,14301,13,2,0,0,0,2,1,1,1,4,0,2,0,0,0,1,0,0,0,1,10,2,0,0,0,1,2,2,1,4,0,2,0,0,0,1,0,0,0,2,8,2,0,0,0,2,2,3,1,1,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Car,2002,251 To 300 Miles,71% To 80%,Female,Under 30,College Graduate (4 Years),SE,Rural/Country,"$70,000 to $79,999",Yearly,,,,,
